Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
B0DNN6	1	1	1	0	0	0
B0DMH9	1	1	1	0	0	0
B0D708	1	1	1	0	0	0
B0CQ43	1	1	1	0	0	0
B0CYX0	1	1	1	0	0	0
B0CY47	1	1	1	0	0	0
B0D712	1	1	0	0	0	0
B0DHG8	1	1	1	0	0	0
B0D613	1	1	1	0	0	0
B0DMA1	1	1	1	0	0	0
B0CUF3	1	1	1	0	0	0
B0CVZ2	1	1	1	0	0	0
B0DZS7	1	1	1	0	0	0
B0DV26	1	1	1	0	0	0
B0DSQ0	1	1	0	0	0	0
B0CS71	1	1	1	0	0	0
B0D784	1	1	1	0	0	0
B0D7J4	1	1	1	0	0	0
B0DYJ2	1	1	1	0	0	0
B0DVM0	1	1	1	0	0	0
B0DBJ7	1	1	1	0	0	0
B0D332	1	1	1	0	0	0
B0DD31	1	1	1	0	0	0
B0CVX0	1	0	0	0	0	0
B0DAU2	1	1	1	0	0	0
B0DQ57	1	1	1	0	0	0
B0CY32	1	1	1	0	0	0
B0D8W1	1	1	1	0	0	0
B0CPD7	1	1	1	0	0	0
B0D2T0	1	1	0	0	0	0
B0D3G7	1	0	1	0	0	0
B0D6E6	1	1	1	0	0	0
B0D718	1	1	1	0	0	0
B0DG21	1	1	1	0	0	0
B0DVC7	1	1	1	0	0	0
B0CRM6	1	1	0	0	0	0
B0CSE6	1	1	1	0	0	0
B0CQQ5	1	1	1	0	0	0
B0DNS5	1	1	0	0	0	0
B0CVU9	1	1	1	0	0	0
B0D7Q7	1	1	1	0	0	0
B0DGW9	1	1	1	0	0	0
B0CU77	1	1	1	0	0	0
B0D3N5	1	1	1	0	0	0
B0DBD1	1	1	0	0	0	0
B0CWR9	1	1	1	0	0	0
B0DKE5	1	1	1	0	0	0
B0D3V9	1	0	0	0	0	0
B0CTY4	1	1	1	1	0	0
B0DMH8	1	1	1	0	0	0
B0CZI5	1	0	1	0	0	0
B0DZY0	1	1	1	0	0	0
B0CS08	1	1	1	0	0	0
B0CTV0	1	1	1	0	0	0
B0CS95	1	1	1	0	0	0
B0CYU2	1	1	1	0	0	0
B0DPX3	1	1	0	0	0	0
B0DDS9	1	1	1	0	0	0
B0DAQ8	1	1	0	0	0	0
B0D806	1	1	1	0	0	0
B0D3P6	1	1	1	0	0	0
B0D3X7	1	0	0	0	0	0
B0D7Y1	1	0	0	0	0	0
B0CVD7	1	1	1	0	0	0
B0D8V0	1	1	1	0	0	0
B0CSJ0	1	0	0	0	0	0
B0DPK2	1	1	0	0	0	0
B0DFD3	1	1	1	0	0	0
B0DZZ3	1	1	1	0	0	0
B0D174	1	1	1	0	0	0
B0DXX5	1	1	1	0	0	0
B0CPG5	1	0	0	0	0	0
B0CSN1	1	1	1	1	1	0
B0DTG5	1	1	0	0	0	0
B0DN91	1	0	0	0	0	0
B0E087	1	0	0	0	0	0
B0DEZ4	1	1	1	0	0	0
B0DZQ8	1	1	1	0	0	0
B0CU46	1	1	0	0	0	0
B0D8S9	1	1	1	0	0	0
B0DGK3	1	1	1	0	0	0
B0CQI0	1	1	0	0	0	0
B0CYJ4	1	1	1	0	0	0
B0CSV2	1	1	1	0	0	0
B0D709	1	1	0	0	0	0
Potri.010G218600.3.p	1	0	0	0	0	0
B0CYF1	1	0	0	0	0	0
B0CYE0	1	1	1	0	0	0
B0DAG6	1	1	0	0	0	0
B0DID0	1	1	1	0	0	0
B0D7C1	1	1	1	0	0	0
B0D0G4	1	0	0	0	0	0
B0DXK4	1	1	1	0	0	0
B0D1Q8	1	0	0	0	0	0
B0D5K1	1	1	1	0	0	0
B0CVY4	1	1	1	0	0	0
B0DWE4	1	1	1	0	0	0
B0DBT5	1	1	0	0	0	0
B0DVG5	1	1	1	0	0	0
B0DT82	1	1	1	0	0	0
B0CX64	1	1	1	0	0	0
B0CTQ2	1	0	1	0	0	0
B0CQX3	1	1	1	0	0	0
B0D8S7	1	1	0	0	0	0
B0CNM5	1	0	0	0	0	0
B0CYR7	1	0	0	0	0	0
B0D4A1	1	0	0	0	0	0
B0CXI9	1	1	1	0	0	0
B0E197	1	1	1	0	0	0
B0D5Q4	1	0	0	0	0	0
B0D6H6	1	1	1	0	0	0
B0CRB9	1	1	0	0	0	0
B0E169	1	0	0	0	0	0
B0CYJ6	1	0	0	0	0	0
B0DXN8	1	0	0	0	0	0
B0D6R1	1	1	0	0	0	0
B0D0A3	1	0	0	0	0	0
B0CUZ3	1	1	1	0	0	0
B0DJN7	1	1	0	0	0	0
B0D404	1	1	0	0	0	0
B0DI83	1	1	0	0	0	0
B0DMM3	1	1	0	0	0	0
B0DV28	1	1	0	0	0	0
B0DAK0	1	1	1	0	0	0
B0D3D9	1	1	1	0	0	0
B0D9Q9	1	0	0	0	0	0
B0DT27	1	1	0	0	0	0
B0CQY9	1	1	1	0	0	0
B0DS29	1	0	0	0	0	0
B0D974	1	1	0	0	0	0
B0CQA5	1	1	0	0	0	0
B0DUH1	1	1	1	0	0	0
B0DVC3	1	1	0	0	0	0
B0DFA1	1	1	1	0	0	0
B0CYU3	1	1	0	0	0	0
B0CRJ9	1	1	1	0	0	0
B0DMU6	1	0	0	0	0	0
B0DKA5	1	1	0	0	0	0
B0DA99	1	1	0	0	0	0
B0DSD4	1	1	1	0	0	0
B0E107	1	0	0	0	0	0
B0CTA3	1	0	0	0	0	0
B0CRV6	1	1	1	0	0	0
B0D6C8	1	1	0	0	0	0
B0CV32	1	0	0	0	0	0
B0CXP5	1	1	0	0	0	0
B0DD44	1	1	1	0	0	0
B0D1K0	1	1	0	0	0	0
B0DRC0	1	0	0	0	0	0
B0CX79	1	1	1	0	0	0
Potri.011G056600.3.p	1	0	0	0	0	0
B0D113	1	1	1	0	0	0
B0D6H5	1	1	1	0	0	0
B0D5Y7	1	1	1	0	0	0
B0CN80	1	1	1	0	0	0
B0D1I7	1	0	0	0	0	0
B0E1B3	1	1	1	0	0	0
B0DHY7	1	1	0	0	0	0
B0DH00	1	0	0	0	0	0
B0CQV1	1	1	1	0	0	0
B0CSP8	1	1	1	0	0	0
B0DQS0	1	1	1	0	0	0
B0DME6	1	1	0	0	0	0
B0D100	1	0	1	0	0	0
B0DSQ4	1	1	0	0	0	0
B0DKL9	1	1	1	0	0	0
B0DFI5	1	1	1	0	0	0
B0CRC8	1	1	0	0	0	0
B0D6A4	1	1	0	0	0	0
B0D7B5	1	1	1	0	0	0
B0DZR6	1	0	0	0	0	0
B0DHX7	1	0	0	0	0	0
B0CSX9	1	0	0	0	0	0
B0CUF7	1	0	0	0	0	0
B0CUB9	1	0	0	0	0	0
B0CS39	1	1	1	0	0	0
B0CYG2	1	1	1	0	0	0
B0CSR3	1	1	0	0	0	0
B0CSF7	1	0	0	0	0	0
B0DVG8	1	1	1	0	0	0
B0CRU6	1	1	1	0	0	0
